"id","age","gender","mother_tongue","english_level","visual_aid","makeup","experiment_language","expertise_experiment_language","time_experiment_language","frequency_experiment_language","other_languages","expertise_programming","time_programming","frequency_other_language","answer_rectangle","correct_rectangle","order_rectangle","stimulus_rectangle","answer_vehicle","correct_vehicle","order_vehicle","stimulus_vehicle","mother_tongue_original","time_experiment_language_original","time_programming_original","other_languages_original"
15,32,"male","English","high","no","no","Java","medium",2,"less than 1 hour / day","javascript_medium; c_low; mel_low","medium","2.0","less than 1 hour / day","I'm not sure.",0,1,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java.jpg","English ","2","2","Javascript (medium), C (low), MelScript(low)"
16,28,"male","Marathi","high","no","no","Java","medium",1,"more than 1 hour / day","c; c++; c#; asp; asp.net; html; visualbasic","high","5.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java2.jpg","Marathi (India)","1","5","C, C++, C#, C#.net , ASP, ASP.net,  HTML, VB"
17,27,"male","English","high","no","no","Java","medium",1,"less than 1 hour / day","python_low; c#_low; javascript_medium","medium","2.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","English","1","2","Python (low), C# (low), JavaScript (medium)"
18,22,"female","English","high","glasses","no","Java","medium",4,"less than 1 hour / week","lisp_low; c_low; c++_low; mysql_low_medium; html_medium; css_medium; javascript_low_medium","medium","4.0","less than 1 hour / week","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java.jpg","English","Around 4 years, but not consistently","About 4 years","Currently learning Lisp: low, C/C++: low (haven't programmed in this language in awhile), MySQL: low-medium, HTML/CSS: medium, Javascript: low-medium"
19,20,"female","English","high","no","no","Java","medium",3,"more than 1 hour / day","c_low; c++_low","medium","3.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java.jpg","English","3","3","c/c++ (low)"
20,19,"male","Slovak","high","no","no","Java","medium",1,"more than 1 hour / day","pascal_medium; assembly_low; c_medium; javascript_low","medium","2.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java2.jpg","Slovak","1","2","Pascal(medium) Assembly(low) C(medium) Java(medium) Javascripit(low)"
21,21,"male","Slovak","medium","no","no","Java","low",1.5,"less than 1 hour / week","c_medium; javascript_low","low","3.0","less than 1 hour / month","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","Slovak","1.5","3","C(medium), JavaScript(low)"
22,21,"male","Slovak","medium","no","no","Java","medium",2,"less than 1 hour / day","c_medium; php_low; sql_medium; python_low","medium","2.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","Slovak","2","2","C(medium), PHP(low), SQL(medium), Phyton(low), "
23,20,"male","Italian","medium","glasses","no","Java","low",2,"not at all","c++_low; c#_low; r_medium; sas_medium; matlab_medium","medium","4.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","Italian","2","4","C++ low C# low R medium SAS medium Matlab medium Java low "
24,20,"male","Slovak","medium","no","no","Java","medium",2,"not at all","c_medium","medium","6.0","more than 1 hour / day","I'm not sure.",0,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","Slovak","2","6","C (medium)"
25,19,"male","Slovak","low","no","no","Java","medium",1,"less than 1 hour / week","c_medium; javascript_medium","medium","3.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","Slovak","1","3","C(medium) javascript(medium) "
26,24,"male","Slovak","high","no","no","Java","high",4,"less than 1 hour / month","c_high; c++_high; c#_high; javascript_medium","high","7.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,1,"vehicle_java2.jpg","Slovak","4","7","C/C++ (high), C# (high), Javascript (medium)"
27,31,"male","English","medium","glasses","no","Java","low",2,"less than 1 hour / week","javascript_low; c_low; python_low","low","2.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java.jpg","english","2 years","2 years","javascript(low), C (low), Python (low)"
28,25,"male","Italian","medium","no","no","Java","none",0,"not at all","c_medium; c#_low","medium","5.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","italian","0","5","c (medium) c# (low)"
29,22,"male","Spanish","medium","contact lenses","no","Java","low",1,"less than 1 hour / month","c_low; c++_low","low","2.0","less than 1 hour / month","computes the area of rectangles by multiplying their width (x1-y1) and height (x2-y2).",0,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","spanish","1","2","c low c++ low java low"
30,24,"male","Hebrew","medium","no","no","Java","none",0.5,"less than 1 hour / week","none","none","0.5","not at all","I'm not sure.",0,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","hebrew","0.5","0.5","low"
31,23,"male","Slovak","high","no","no","Java","low",1,"not at all","c_medium; php_high","medium","5.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","slovak","1","5","c (medium), php(high)"
32,25,"male","Slovak","medium","glasses","no","Java","medium",4,"not at all","php_high; sql_high; html_high","high","8.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","slovak","4","8","php (high) sql (high) html (high) "
33,23,"male","Slovak","high","no","no","Java","medium",0.5,"not at all","c#_high; python_low; c_medium; php_medium","high","9.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","Slovak","0,5","9","C# (high), Python (low), C (medium), php (medium)"
34,26,"male","Slovak","high","no","no","Java","low",3,"more than 1 hour / day","c_medium; c#_low; sql_medium","medium","10.0","more than 1 hour / day","I'm not sure.",0,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can reduce its speed.",0,1,"vehicle_java2.jpg","Slovak","3","10","C(medium) C#(low) SQL(medium)"
35,20,"male","Slovak","medium","contact lenses","no","Java","low",1,"less than 1 hour / day","c_low; delphi_low","low","3.0","less than 1 hour / month","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","Slovak","1","3","C (low) Delphi (low) Java (low)"
36,20,"female","English","high","no","yes","Java","none",0,"not at all","none","none","0.0","not at all","computes the area of rectangles by multiplying their width (x1-x2) and height (y1-y2).",0,1,"rectangle_java.jpg","I'm not sure.",0,2,"vehicle_java.jpg","English","0 Years","0 Years","None"
37,18,"male","English","high","no","no","Java","low",0,"less than 1 hour / week","html_low; bash_low","low","0.0","less than 1 hour / week","computes the area of rectangles by multiplying their width (x1-y1) and height (x2-y2).",0,1,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java2.jpg","English","5 weeks","5 weeks","HTML - low, Bash - low"
38,19,"male","Italian","high","glasses","no","Java","none",0,"not at all","none","none","0.0","not at all","computes the area of rectangles by multiplying their width (x1-y1) and height (x2-y2).",0,1,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java2.jpg","italian","none","none","none"
39,68,"female","Spanish","medium","glasses","no","Java","low",1,"not at all","javascript","low","5.0","less than 1 hour / day","I'm not sure.",0,2,"rectangle_java.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,1,"vehicle_java.jpg","Spanish","1","5","javascript"
40,21,"male","English","high","glasses","no","Java","medium",2,"less than 1 hour / day","c_medium; c++_medium; python_medium; mysql_medium; t-sql_medium; lisp_medium; prolog_low; php_medium; html_medium; javascript_medium","medium","2.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java.jpg","English","2","2","C (Medium) C++(Medium) Java(Medium) Python(Medium) MySQL(Medium) T-SQL(Medium) Lisp(Medium) Prolog(Low) PHP(Medium) HTML(Medium) JavaScript(Medium)"
41,22,"male","Slovak","high","glasses","no","Java","low",0,"not at all","c#_high; ruby_medium","high","6.0","less than 1 hour / week","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java2.jpg","slovak","0","6","C# (high) ruby (medium)"
42,27,"male","German","medium","glasses","no","Java","medium",2,"not at all","python_low; c++_medium; c_medium","high","5.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can reduce its speed.",0,1,"vehicle_java2.jpg","german","2","5","Python (low) C(++) (medium) Java (medium)"
43,26,"male","Hebrew","high","no","no","Java","low",1,"less than 1 hour / month","c_medium; c#_low; assembly_medium","low","2.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","hebrew","1","2","c (medium), c#(low),assebler(medium)"
44,21,"male","Slovak","medium","no","no","Java","low",0.5,"less than 1 hour / week","c#_medium; c_medium; pascal_medium","medium","2.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x1-x2) and height (y1-y2).",0,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","Slovak","0.5","2","C#(medium) C(medium) Pascal(medium)"
45,20,"male","Finnish","high","no","no","Java","medium",1,"less than 1 hour / week","scala_low","medium","1.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java.jpg","Suomi","1","1","I coded with Java a few years back, and now I am starting to grasp Scala (low)."
46,25,"male","Slovak","medium","no","no","Java","medium",5,"less than 1 hour / week","r_medium; c_low; sas_low; php_medium","medium","7.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,1,"vehicle_java2.jpg","slovak","5","7","R (medium) C (low) SAS (low) PHP (medium)"
47,32,"male","Finnish","high","no","no","Python","medium",5,"less than 1 hour / month","basic_low; c_medium; java_low; scala_low; x87 & atmel avr assembly_low","medium","20.0","less than 1 hour / month","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_python.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_python.jpg","Finnish","5","20","(Quick)Basic - low C - medium Java - low Python - medium Scala - low x87 & Atmel AVR assembly - low "
48,38,"male","English","high","no","no","Java","high",15,"less than 1 hour / month","c_high; c++_high; matlab_high; pascal_medium; modula-2_medium; c#_medium; visualbasic_medium; basic_medium","high","15.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","English","15","15","C (high), C++ (high), MATLAB (high), Pascal (medium), Modula-2 (medium), C# (medium), VB (medium), BASIC (medium)"
49,21,"male","Finnish","high","no","no","Python","medium",3,"less than 1 hour / week","java_low; c_low; scala_medium","medium","3.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_python.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_python.jpg","Finnish","3","3","Java (low) C (low) Scala (medium)"
50,22,"male","Punjabi","high","glasses","no","Java","medium",0,"less than 1 hour / day","c_low","medium","0.5","not at all","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","Punjabi","2 months","0.5 years","C - low"
51,38,"male","Italian","medium","glasses","no","Java","medium",5,"less than 1 hour / week","c++_medium; python_low; matlab_medium; sql_medium; assembly_medium; javascript_medium; c#_medium","medium","10.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x1-x2) and height (y1-y2).",0,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","italiano","5","10","c++(medium) python(low) matlab(medium) sql(medium) assembler(medium) javascript(medium) c#(medium) "
52,23,"male","Finnish","medium","no","no","Scala","low",1,"more than 1 hour / day","php_medium; java_low","low","5.0","less than 1 hour / week","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_scala.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,1,"vehicle_scala.jpg","Finnish","1","5","Php (medium) Java(low) Scala(low) "
53,19,"male","Swedish","high","no","no","Java","medium",3,"less than 1 hour / month","php_medium; python_low; gml_low; scala_low; visualbasic.net_low","medium","10.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java.jpg","Swedish","3","10","PHP (medium), Python (low), GML (low), Scala (low), VB.NET (low)"
54,22,"male","English","medium","no","no","Java","medium",4,"less than 1 hour / day","python_medium; c_low; javascript_medium; html_medium; lisp_medium; prolog_low","medium","4.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java.jpg","English","4 years","4 years ","Python (Medium), C (Low), Javascript (Medium), HTML (Medium), Lisp (Medium), Prolog (Low)"
55,19,"male","Slovak","high","no","no","Java","medium",1,"less than 1 hour / week","c_medium; pascal_high; delphi_medium","medium","7.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","slovak","1","7","C (medium), Pascal (high), Delphi (medium), Java (medium)"
56,20,"male","Slovak","high","glasses","no","Java","low",0,"not at all","c_medium; c#_high; php_high; javascript_medium; shell_low","high","3.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,1,"vehicle_java2.jpg","Slovak","0","3","C (medium), C# (high), php(high), javascript (medium), shell(low)"
57,19,"male","English","high","glasses","no","Java","medium",4,"less than 1 hour / day","html_high; css_medium; apex_medium; php_low; javascript_low; c#_medium; asp.net_medium","medium","4.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","English","4","4","Java (medium), HTML (high), CSS (medium), Apex (medium), PHP (low), Javascript (low), C# (medium), ASP.NET (medium)"
58,21,"male","English","high","no","no","Java","medium",2,"less than 1 hour / week","c#_high; html_high; python_low; css_medium; javascript_low","medium","2.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","English","2 years","2 years","C# (high), html(high), Python(low), CSS(medium), Javascript(low), Java(medium)"
59,26,"female","Turkish","medium","no","yes","Java","none",0,"not at all","c#_medium; c++_medium; python_medium; c_medium; r_low","medium","3.0","less than 1 hour / month","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java.jpg","turkish","0","3","c# (medium) C++ (medium) python (medium) c (medium) r (low) "
60,20,"male","Slovak","medium","no","no","Java","low",0.5,"less than 1 hour / week","visual basic_medium; pascal_medium; c_medium","medium","4.0","less than 1 hour / month","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","Slovencina","0.5","4","Visual Basic (medium) Pascal (medium) C (medium)"
61,21,"male","Slovak","high","no","no","Java","medium",2,"less than 1 hour / day","c_medium; javascript_medium","medium","3.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,1,"vehicle_java2.jpg","Slovak","2","3","C(medium), Javascript(medium)"
62,20,"male","English","high","glasses","no","Java","medium",3,"less than 1 hour / day","none","medium","3.0","not at all","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java.jpg","English ","3","3","Java (medium)"
63,31,"male","Finnish","high","no","no","Java","low",8,"not at all","python_medium; c_low","medium","8.0","less than 1 hour / week","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java.jpg","Finnish","8","8","Python (medium), C (low)"
64,22,"male","English","high","glasses","no","Java","low",1,"not at all","c_medium; handel-c_medium; vhdl_medium; c++_low","medium","5.0","less than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","English","1","5","C (medium), Handel-C (medium), VHDL (medium), C++ (low)"
65,24,"female","English","high","no","no","Java","low",0,"less than 1 hour / month","html","low","1.0","less than 1 hour / month","I'm not sure.",0,1,"rectangle_java.jpg","I'm not sure.",0,2,"vehicle_java.jpg","English ","0","1","html"
66,25,"female","Slovak","medium","no","no","Java","medium",3,"less than 1 hour / month","ruby_medium; r_medium","medium","6.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,2,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,1,"vehicle_java2.jpg","slovak","3","6","Ruby (medium) R (medium)"
67,35,"male","Slovak","medium","glasses","no","Java","low",0,"not at all","c_high; c++_high; python_medium","high","23.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","Slovak","0","23","C/C++ (high), Python (medium)"
68,20,"male","Arabic","medium","no","no","Java","high",1,"more than 1 hour / day","assembly_medium","medium","1.0","not at all","computes the area of rectangles by multiplying their width (x1-x2) and height (y1-y2).",0,1,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java2.jpg","arabic","1","1","asmpley (medium)"
69,31,"male","Italian","medium","no","no","Java","high",2,"more than 1 hour / day","c++_high","high","5.0","more than 1 hour / day","computes the area of rectangles by multiplying their width (x1-y1) and height (x2-y2).",0,1,"rectangle_java2.jpg","... defines a vehicle by a producer, that has a type and can accelerate its speed.",0,2,"vehicle_java2.jpg","italian","2","5","C++ (high) "
70,23,"male","Slovak","medium","glasses","no","Java","medium",1,"more than 1 hour / day","c_medium; javascript_low","low","2.0","less than 1 hour / week","computes the area of rectangles by multiplying their width (x2-x1) and height (y2-y1).",1,1,"rectangle_java2.jpg",".... defines a vehicle by a producer, that has a type and can accelerate and reduce the speed.",1,2,"vehicle_java2.jpg","slovak","1","2","C(medium) Javascript(low)"
